Apr 16 21:31:18 192.168.2.251 : %SEC-6-IPACCESSLOGP: list 150 denied tcp 62.140.132.8(11062) -> 0.0.0.0(22), 1 packet 
Apr 16 21:34:19 192.168.2.251 : %SEC-6-IPACCESSLOGP: list 150 denied tcp 62.140.132.8(3580) -> 0.0.0.0(22), 1 packet 
Jun 17 07:23:15 145.89.194.9 : %SYS-5-CONFIG_I: Configured from console by ernst on vty0 (145.89.194.1)
Jun 17 07:23:16 145.89.194.9 : %SYS-6-LOGGINGHOST_STARTSTOP: Logging to host 145.89.194.49 Port 514 started - CLI initiated
Jun 20 00:53:19 145.89.194.11 15w3d: %SYS-5-CONFIG_I: Configured from console by ernst on vty0 (145.89.194.9)
Jun 20 00:53:20 145.89.194.11 15w3d: %SYS-6-LOGGINGHOST_STARTSTOP: Logging to host 145.89.194.49 Port 514 started - CLI initiated
Jun 20 07:15:00 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/6, changed state to up
Jun 20 07:15:01 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/8, changed state to up
Jun 20 07:15:01 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/3, changed state to up
Jun 20 07:15:01 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/6, changed state to down
Jun 20 07:15:01 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/8, changed state to up
Jun 20 07:15:03 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/3, changed state to up
Jun 20 07:15:04 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/2, changed state to up
Jun 20 07:15:04 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/6, changed state to up
Jun 20 07:15:06 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/6, changed state to up
Jun 20 07:15:06 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/3, changed state to down
Jun 20 07:15:07 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/2, changed state to down
Jun 20 07:15:07 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/3, changed state to down
Jun 20 07:15:09 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/2, changed state to up
Jun 20 07:15:09 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/2, changed state to up
Jun 20 07:15:13 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/3, changed state to up
Jun 20 07:15:13 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/3, changed state to up
Jun 20 07:15:15 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/8, changed state to down
Jun 20 07:15:16 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/8, changed state to down
Jun 20 07:15:19 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/6, changed state to down
Jun 20 07:15:20 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/8, changed state to up
Jun 20 07:15:20 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/6, changed state to down
Jun 20 07:15:20 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/8, changed state to up
Jun 20 07:15:21 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/3, changed state to down
Jun 20 07:15:21 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/2, changed state to down
Jun 20 07:15:21 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/3, changed state to down
Jun 20 07:15:23 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/6, changed state to up
Jun 20 07:15:23 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/2, changed state to down
Jun 20 07:15:23 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/6, changed state to up
Jun 20 07:15:25 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/3, changed state to up
Jun 20 07:15:25 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/3, changed state to up
Jun 20 07:15:28 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/2, changed state to up
Jun 20 07:15:28 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/2, changed state to up
Jun 20 07:17:49 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/9, changed state to up
Jun 20 07:17:51 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/7, changed state to up
Jun 20 07:17:51 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/9, changed state to down
Jun 20 07:17:53 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/7, changed state to down
